id,first_name,last_name,is_empty
1,Eric,Knight,false
2,Annie,Castillo,true
3,Johnny,Dunn,false
4,Lawrence,Payne,true
5,Sara,Duncan,true
6,Alan,Webb,true
7,Joan,Payne,false
8,Jason,Perez,false
9,Gary,Sanchez,true
10,Louise,Davis,false
11,Keith,Lynch,false
12,Irene,Cook,false
13,Henry,Jordan,false
14,Albert,Sanchez,false
15,Kathy,Arnold,false
16,Thomas,Hill,false
17,Roy,Gardner,true
18,Patricia,Mason,true
19,Samuel,Chapman,true
20,Phillip,Gardner,true
21,Diana,Young,true
22,Thomas,Burton,false
23,Samuel,Carter,false
24,Annie,Ellis,true
25,Amanda,Myers,false
26,Bonnie,Bailey,true
27,Keith,Hicks,true
28,Scott,Peters,true
29,Henry,Bailey,false
30,Arthur,Gray,false
31,Tammy,Williamson,true
32,Stephen,Hayes,true
33,Betty,Mason,true
34,Robert,Green,true
35,Gregory,Hudson,false
36,Gregory,Hart,true
37,Roger,Matthews,false
38,Billy,Riley,true
39,Evelyn,Rivera,false
40,Gerald,Alvarez,false
41,Judy,Wagner,true
42,Jack,Davis,false
43,Walter,Kelly,true
44,Stephen,George,true
45,Terry,Powell,false
46,Wanda,Johnson,true
47,Brandon,Foster,true
48,Cheryl,Jones,false
49,Louis,Little,false
50,Benjamin,Nguyen,true
51,Brenda,Young,true
52,Bruce,Stewart,false
53,Joan,Price,true
54,Paul,George,true
55,Jeremy,Hicks,true
56,Stephen,Davis,false
57,Joan,Larson,false
58,Gloria,Robinson,true
59,Bonnie,Reynolds,false
60,Keith,Evans,false
61,Carlos,Hall,true
62,Nancy,Burton,false
63,Frank,Webb,true
64,Mildred,Meyer,false
65,Barbara,Gray,true
66,Lawrence,Torres,true
67,Brian,Hicks,true
68,Kelly,Gardner,true
69,Andrew,Hawkins,false
70,Roger,Lane,false
71,Matthew,Campbell,true
72,Melissa,Black,false
73,Todd,Palmer,false
74,Terry,Hansen,false
75,Billy,Collins,false
76,Antonio,Reyes,false
77,Margaret,Wells,false
78,Wayne,Johnston,false
79,Amanda,Lawrence,true
80,Lois,Gordon,false
81,Phyllis,Brooks,false
82,Benjamin,Fox,false
83,Christine,Parker,false
84,Aaron,Ross,true
85,Evelyn,Nelson,false
86,Christopher,Wood,true
87,Marilyn,Rice,true
88,Kevin,Webb,false
89,Antonio,Greene,true
90,Denise,Black,false
91,Sarah,Robertson,false
92,Wayne,Shaw,false
93,Jack,Campbell,false
94,Christina,Bennett,true
95,Janice,Simmons,false
96,Thomas,Warren,true
97,Wayne,Sullivan,false
98,Roger,Washington,true
99,Victor,Carpenter,false
100,Kathryn,Hunter,true
101,Louise,Hernandez,true
102,Martha,Lee,false
